name,code,market,subsector,purity,business_one_liner,main_business_eastmoney,entry_categories,entry_reason,market_cap_tencent_yi,market_cap_eastmoney_yi,market_cap_diff_pct,market_cap_crosscheck,market_cap_calculated_yi,market_cap_formula_diff_pct,price,quote_time,avg_turnover_30d_yi,return_30d_pct,return_90d_pct,rank_a_turnover_30d,rank_b_return_30d,rank_b_return_90d,rank_c_market_cap,trading_sessions_30d,source_business_url,source_quote_eastmoney_url,source_quote_tencent_url,day_change_pct,day_turnover_yi,eastmoney_industry,eastmoney_price,float_market_cap_tencent_yi,history_last_date,official_name,pb,pe_dynamic,purity_note,selected_layer1,top_a_turnover_30d,top_b_return_30d,top_b_return_90d,top_c_market_cap,total_shares_eastmoney,turnover_rate_pct
中天科技,600522,A股-SH,海上风电-海缆,中,通信、电网与海洋系统多元化,"通信、电力、海洋、新能源等领域产品的生产与销售,及海洋工程施工等经营活动",A/B/C,30日均成交额第2，128.74亿元/日；90日涨幅第13（-5.48%）；主题市值第11，1071.32亿元,1071.32,1071.3248957628,0.00045698416906813705,一致,1071.3248957628,0.00045698416906813705,31.39,20260724161447,128.73876363636364,-49.29736714585689,-5.480277024992472,2,168,13,11,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600522,https://quote.eastmoney.com/sh600522.html,https://qt.gtimg.cn/q=sh600522,-4.85,53.7838,信息技术-通信设备-通信传输设备,31.39,1071.32,2026-07-24,中天科技,2.89,33.55,,True,True,False,True,True,3412949652.0,4.95
特变电工,600089,A股-SH,光伏-硅料/综合电气,中,输变电、硅料与新能源电站多元平台,包括输变电业务、新能源业务、能源业务及新材料业务,A/C,30日均成交额第9，25.43亿元/日；主题市值第12，1030.26亿元,1030.26,1030.2644052269,0.00042758399821036874,一致,1030.2644052269,0.00042758399821036874,20.39,20260724161440,25.432396545454544,-13.011945392491468,-24.369436201780417,9,72,53,12,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600089,https://quote.eastmoney.com/sh600089.html,https://qt.gtimg.cn/q=sh600089,-5.29,41.5079,电气设备-输变电设备-其他输变电设备,20.39,1030.26,2026-07-24,特变电工,1.47,16.7,,True,True,False,False,True,5052792571.0,3.97
上海电气,601727,A股-SH,核电设备/综合装备,中,电站设备、工业装备与能源工程,"公司主导产业聚焦能源装备、工业装备、集成服务三大板块,形成了比较完整的工业自动化和工业装备系统,为众多高端设备提供全生命周期服务,引领多能互补、能源互联的发展方向,致力于为全球客户提供绿色、环保、智能、互联于一体的技术集成和系统解决方案。",C,主题市值第13，1013.22亿元,1013.22,1013.2159306671998,0.00040162381321070324,一致,1013.2159306672,0.00040162381318826254,6.52,20260724161459,6.192710045454546,-8.426966292134832,-17.780580075662044,40,49,31,13,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH601727,https://quote.eastmoney.com/sh601727.html,https://qt.gtimg.cn/q=sh601727,-3.69,5.3187,电气设备-电源设备-综合电力设备商,6.52,822.54,2026-07-24,上海电气,1.85,78.28,,True,False,False,False,True,15540121636.0,0.64
电投产融,000958,A股-SZ,核电权益/产融,低,产融平台持有核电权益，非纯核电运营商,核能业务及非核能源业务,C,主题市值第14，970.78亿元,970.78,970.7758225089999,0.00043032314222213455,一致,970.775822509,0.00043032314221042365,5.3,20260724161427,1.2233155454545455,-7.504363001745201,-12.106135986733001,118,44,22,14,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ000958,https://quote.eastmoney.com/sz000958.html,https://qt.gtimg.cn/q=sz000958,-3.28,1.1737,公用事业-电力-新能源发电,5.3,285.32,2026-07-24,电投产融,1.93,29.45,,True,False,False,False,True,18316524953.0,0.41
隆基绿能,601012,A股-SH,光伏-硅片/组件,高,单晶硅片、电池和组件,"单晶硅棒和硅片、电池和组件的研发、生产和销售,以及光伏电站的开发运营等",A/B/C,30日均成交额第15，16.86亿元/日；30日涨幅第12（-0.24%）；主题市值第15，941.20亿元,941.2,941.1961881816001,0.0004049955801085155,一致,941.1961881816,0.0004049955801205945,12.42,20260724161446,16.860846454545456,-0.24096385542168675,-28.579643473260493,15,12,76,15,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH601012,https://quote.eastmoney.com/sh601012.html,https://qt.gtimg.cn/q=sh601012,-2.97,13.0913,电气设备-电源设备-太阳能,12.42,941.2,2026-07-24,隆基绿能,1.86,-13.62,,True,True,True,False,True,7578069148.0,1.38
东方电气,600875,A股-SH,风电整机/核电设备,中,发电装备综合平台，覆盖风电与核电,为能源生产及利用提供高端装备及相关服务,A/C,30日均成交额第17，15.79亿元/日；主题市值第16，884.65亿元,884.65,884.6485713907998,0.00016148863394124124,一致,884.6485713908,0.00016148863391553912,25.58,20260724161444,15.794510181818183,-15.799868334430547,-38.31685555823487,17,88,133,16,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600875,https://quote.eastmoney.com/sh600875.html,https://qt.gtimg.cn/q=sh600875,-6.02,13.9086,电气设备-电源设备-综合电力设备商,25.58,578.97,2026-07-24,东方电气,1.96,20.75,,True,True,False,False,True,3458360326.0,2.36
国电电力,600795,A股-SH,风光发电/综合电力,低,大型综合电力平台，新能源占比提升,电力、热力产品的生产和销售。,B/C,30日涨幅第5（4.67%）、90日涨幅第6（0.00%）；主题市值第17，879.30亿元,879.3,879.2960207425999,0.00045254832253304003,一致,879.2960207426,0.00045254832252011076,4.93,20260724161452,6.7092875,4.670912951167728,0.0,37,5,6,17,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600795,https://quote.eastmoney.com/sh600795.html,https://qt.gtimg.cn/q=sh600795,-2.18,7.5426,公用事业-电力-火电,4.93,879.3,2026-07-24,国电电力,1.5,13.03,,True,False,True,True,True,17835619082.0,0.85
中材科技,002080,A股-SZ,风电-叶片,中,玻纤、风电叶片与锂电隔膜,"围绕新能源、新材料、绿色低碳等战略性新兴产业方向,聚焦特种纤维、复合材料、新能源材料三大赛道、秉持“做优玻纤、做强叶片、做大锂膜”的产业发展思路,集中优势资源大力发展玻璃纤维及制品、风电叶片、锂电池隔膜三大主导产业,同时从事高压复合气瓶、膜材料及其他复合材料制品的研发、制造及销售。",A/B/C,30日均成交额第5，39.13亿元/日；90日涨幅第18（-10.09%）；主题市值第18，792.41亿元,792.41,792.4099563648,5.506644284198058e-06,一致,792.4099563648,5.506644284198058e-06,47.22,20260724161457,39.1318375,-44.10511363636363,-10.091393754760091,5,166,18,18,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ002080,https://quote.eastmoney.com/sz002080.html,https://qt.gtimg.cn/q=sz002080,-5.75,17.4572,基础化工-合成纤维及树脂-玻纤,47.22,792.41,2026-07-24,中材科技,4.02,40.36,,True,True,False,True,True,1678123584.0,2.16
金风科技,002202,A股-SZ,风电-整机,高,风机制造、服务与风电场开发,风机制造、风电服务、风电场投资与开发三大主营业务以及水务等其他业务,A/C,30日均成交额第6，35.63亿元/日；主题市值第19，744.23亿元,744.23,744.2315596014,0.00020955906104347917,一致,744.2315596014,0.00020955906104347917,17.62,20260724161436,35.629076727272725,-20.63063063063063,-30.847723704866564,6,118,90,19,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ002202,https://quote.eastmoney.com/sz002202.html,https://qt.gtimg.cn/q=sz002202,-4.08,15.9136,电气设备-电源设备-风能,17.62,592.65,2026-07-24,金风科技,1.87,23.9,,True,True,False,False,True,4223788647.0,2.65
正泰电器,601877,A股-SH,光伏发电/低压电器,中,低压电器与户用分布式光伏,"主要从事配电电器、终端电器、控制电器、电源电器、电子电器、建筑电器和仪器仪表、自动化控制系统的研发、生产和销售;以及光伏电站开发、建设、运营、运维,EPC工程总包,和储能系统、BIPV、户用光伏的开发和建设等业务",C,主题市值第20，525.42亿元,525.42,525.422914632,0.0005547242206342301,一致,525.422914632,0.0005547242206342301,24.45,20260724161451,4.910412136363636,-5.598455598455598,-24.51373880827416,50,37,54,20,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH601877,https://quote.eastmoney.com/sh601877.html,https://qt.gtimg.cn/q=sh601877,-3.97,5.635,电气设备-输变电设备-其他输变电设备,24.45,525.42,2026-07-24,正泰电器,1.19,11.41,,True,False,False,False,True,2148968976.0,1.06
晶盛机电,300316,A股-SZ,光伏-加工设备,中,半导体装备、半导体衬底材料、耗材及零部件的研发、生产和销售,半导体装备、半导体衬底材料、耗材及零部件的研发、生产和销售,A/B/C,30日均成交额第16，16.73亿元/日；90日涨幅第19（-10.40%）；主题市值第21，510.85亿元,510.85,510.8491342096999,0.00016948033671543555,一致,510.8491342097,0.0001694803366931811,39.01,20260724161445,16.732957727272726,-31.633368384157027,-10.404225999081305,16,142,19,21,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ300316,https://quote.eastmoney.com/sz300316.html,https://qt.gtimg.cn/q=sz300316,-0.28,6.0284,电气设备-电源设备-太阳能,39.01,480.43,2026-07-24,晶盛机电,3.0,123.28,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,True,True,1309533797.0,1.26
迈为股份,300751,A股-SZ,光伏-加工设备,中,智能制造装备的设计、研发、生产与销售,智能制造装备的设计、研发、生产与销售,A/C,30日均成交额第8，26.15亿元/日；主题市值第22，505.65亿元,505.65,505.6488763760001,0.00022221378421595337,一致,505.648876376,0.00022221378423843666,181.3,20260724161433,26.149725045454545,-20.39517014270033,-19.743249225320938,8,117,38,22,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ300751,https://quote.eastmoney.com/sz300751.html,https://qt.gtimg.cn/q=sz300751,-0.38,11.1995,电气设备-电源设备-太阳能,181.3,349.64,2026-07-24,迈为股份,6.53,74.63,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,False,True,278901752.0,3.21
通威股份,600438,A股-SH,光伏-硅料/电池,中,高纯晶硅、电池片与农牧业务,"在农业方面,公司主营业务为水产饲料、畜禽饲料等产品的研究、生产和销售,用以满足水产、畜禽动物养殖过程中的生长和营养所需;在新能源方面,公司以高纯晶硅、太阳能电池等产品的研发、生产、销售为主;在综合应用端,公司聚焦规模化“渔光一体”基地的开发与建设,全力打造具有核心竞争优势的生态养殖+绿色能源的“渔光一体”模式,加强产业协同发展",C,主题市值第23，501.52亿元,501.52,501.52179071600005,0.00035705774447144465,一致,501.521790716,0.0003570577444601104,11.14,20260724161447,6.746372545454546,-8.986928104575163,-37.59103641456583,36,52,131,23,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600438,https://quote.eastmoney.com/sh600438.html,https://qt.gtimg.cn/q=sh600438,-3.97,4.6635,电气设备-电源设备-太阳能,11.14,501.52,2026-07-24,通威股份,1.43,-5.33,,True,False,False,False,True,4501990940.0,0.91
晶科能源,688223,A股-SH,光伏-组件,高,光伏电池组件一体化,单晶硅棒、硅片切割、电池制备、组件封装在内的光伏业务,C,主题市值第24，415.91亿元,415.91,415.91119657049995,0.00028769938206063436,一致,415.9111965705,0.0002876993820743016,4.05,20260724161437,5.338886272727272,-16.666666666666668,-38.54324734446131,44,95,134,24,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH688223,https://quote.eastmoney.com/sh688223.html,https://qt.gtimg.cn/q=sh688223,-5.59,4.0563,电气设备-电源设备-太阳能,4.05,415.91,2026-07-24,晶科能源,1.67,-6.08,,True,False,False,False,True,10269412261.0,0.95
福斯特,603806,A股-SH,光伏-胶膜,高,光伏封装胶膜与背板,薄膜形态功能高分子材料的研发、生产和销售,C,主题市值第25，358.70亿元,358.7,358.702534025,0.0007064468915496403,一致,358.702534025,0.0007064468915496403,13.75,20260724161450,6.384000636363637,-15.592387968078576,-22.535211267605632,39,87,47,25,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH603806,https://quote.eastmoney.com/sh603806.html,https://qt.gtimg.cn/q=sh603806,-4.38,3.34,电气设备-电源设备-太阳能,13.75,358.7,2026-07-24,福斯特,2.27,52.72,,True,False,False,False,True,2608745702.0,0.92
大全能源,688303,A股-SH,光伏-设备/材料,中,"主要从事高纯多晶硅的研发、制造与销售。高纯多晶硅是太阳能光伏行业的基础材料,其质量直接影响下游产品的关键性能。","主要从事高纯多晶硅的研发、制造与销售。高纯多晶硅是太阳能光伏行业的基础材料,其质量直接影响下游产品的关键性能。",C,主题市值第26，358.68亿元,358.68,358.6783970528,0.00044690175086783474,一致,358.6783970528,0.00044690175086783474,16.72,20260724161451,2.174373818181818,-7.111111111111111,-26.986899563318776,91,41,67,26,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH688303,https://quote.eastmoney.com/sh688303.html,https://qt.gtimg.cn/q=sh688303,-4.18,1.5553,电气设备-电源设备-太阳能,16.72,358.68,2026-07-24,大全能源,0.94,-26.14,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,False,False,False,True,2145205724.0,0.43
横店东磁,002056,A股-SZ,光伏-电池组件,中,主要从事磁性材料+器件、光伏+锂电两大产业群相关产品的研发、生产、销售以及提供一站式技术解决方案的服务。,主要从事磁性材料+器件、光伏+锂电两大产业群相关产品的研发、生产、销售以及提供一站式技术解决方案的服务。,A/B/C,30日均成交额第11，20.72亿元/日；90日涨幅第2（11.42%）；主题市值第27，344.54亿元,344.54,344.5376172732,0.0006915675393341348,一致,344.5376172732,0.0006915675393341348,21.18,20260724161442,20.722286136363635,-22.84153005464481,11.415044713308784,11,126,2,27,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ002056,https://quote.eastmoney.com/sz002056.html,https://qt.gtimg.cn/q=sz002056,-2.62,7.2747,电子设备-电子器件-其他电子器件,21.18,344.18,2026-07-24,横店东磁,3.43,19.37,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,True,True,1626712074.0,2.11
TCL中环,002129,A股-SZ,光伏-硅片,高,单晶硅片与新能源材料,"单晶硅棒和硅片、电池和组件、半导体材料和器件的研发、生产和销售,以及光伏电站的开发运营业务等",A/B/C,30日均成交额第7，31.87亿元/日；90日涨幅第7（-1.51%）；主题市值第28，343.66亿元,343.66,343.664840705,0.0014085738811593844,一致,343.664840705,0.0014085738811593844,8.5,20260724161439,31.86597,-10.526315789473685,-1.5063731170336037,7,58,7,28,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ002129,https://quote.eastmoney.com/sz002129.html,https://qt.gtimg.cn/q=sz002129,-4.06,7.8386,电气设备-电源设备-太阳能,8.5,343.37,2026-07-24,TCL中环,1.72,-3.82,,True,True,False,True,True,4043115773.0,2.25
阿特斯,688472,A股-SH,光伏-电池组件,中,光伏组件和大型储能系统产品制造商,光伏组件和大型储能系统产品制造商,C,主题市值第29，338.81亿元,338.81,338.812030416,0.0005992786517591189,一致,338.812030416,0.0005992786517591189,9.3,20260724161457,5.2853212272727275,-14.600550964187327,-28.89908256880734,45,82,81,29,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH688472,https://quote.eastmoney.com/sh688472.html,https://qt.gtimg.cn/q=sh688472,-5.3,3.7788,电子设备-电子器件-其他电子器件,9.3,338.81,2026-07-24,阿特斯,1.46,22.77,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,False,False,False,True,3643140112.0,1.09
纽威股份,603699,A股-SH,核电-阀门,中,工业阀门，核电为重要高端场景,工业阀门的设计、制造和销售。,C,主题市值第30，324.15亿元,324.15,324.14578007190005,0.0013018442387562666,一致,324.1457800719,0.001301844238773803,41.81,20260724161446,3.537999818181818,-16.24599358974359,-29.77830030231777,67,91,85,30,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH603699,https://quote.eastmoney.com/sh603699.html,https://qt.gtimg.cn/q=sh603699,-3.2,2.305,机械设备-通用设备-基础件,41.81,316.98,2026-07-24,纽威股份,7.71,19.26,,True,False,False,False,True,775282899.0,0.72
东方电缆,603606,A股-SH,海上风电-海缆,高,海缆与海洋工程系统,海底电缆、陆地电缆等一系列产品的设计研发、生产制造、安装敷设及运维服务,B,30日涨幅第14（-0.56%）,323.74,323.73733154,0.000824260208808093,一致,323.73733154,0.000824260208808093,39.25,20260724161453,7.5098645,-0.5573853559665569,-39.83752299202943,33,14,140,31,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH603606,https://quote.eastmoney.com/sh603606.html,https://qt.gtimg.cn/q=sh603606,-2.02,9.2598,电气设备-输变电设备-电线电缆,39.25,323.74,2026-07-24,东方电缆,3.99,23.77,,True,False,True,False,False,824808488.0,2.79
新天绿能,600956,A股-SH,风电-运营,中,"聚焦于风力发电、光伏发电业务及天然气销售业务,主营业务中的其他各项业务系公司利用其在天然气领域及风力发电领域的资源和技术优势开展的配套或延伸业务","聚焦于风力发电、光伏发电业务及天然气销售业务,主营业务中的其他各项业务系公司利用其在天然气领域及风力发电领域的资源和技术优势开展的配套或延伸业务",B,30日涨幅第20（-1.79%）,321.77,321.7691243195,0.000272144855012413,一致,321.7691243195,0.000272144855012413,7.15,20260724161441,0.7791373636363637,-1.7857142857142858,-18.19221967963387,141,20,33,32,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SH600956,https://quote.eastmoney.com/sh600956.html,https://qt.gtimg.cn/q=sh600956,-4.79,0.7822,公用事业-燃气-燃气,7.15,167.89,2026-07-24,新天绿能,1.3,20.27,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,False,True,False,False,4500267473.0,0.46
帝尔激光,300776,A股-SZ,光伏-加工设备,中,精密激光加工解决方案的设计及其配套设备的研发、生产和销售,精密激光加工解决方案的设计及其配套设备的研发、生产和销售,A/B,30日均成交额第10，21.61亿元/日；90日涨幅第5（0.44%）,315.36,315.3552145536,0.001517455098945712,一致,315.3552145536,0.001517455098945712,110.56,20260724161448,21.605911227272728,-33.03858034037914,0.436046511627907,10,149,5,33,22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/Index?type=web&code=SZ300776,https://quote.eastmoney.com/sz300776.html,https://qt.gtimg.cn/q=sz300776,-3.02,8.1299,电子设备-电子设备制造-电子设备制造,110.56,198.25,2026-07-24,帝尔激光,8.24,60.67,东方财富行业板块成分；纯度保守标中，需用2025年报分部收入量化,True,True,False,True,False,285234456.0,4.07
